#Time Tp
0.000 1350.000
0.062 1357.363
0.109 1362.928
0.155 1368.493
0.202 1373.630
0.241 1377.911
0.279 1382.192
0.318 1386.045
0.357 1390.753
0.403 1395.034
0.442 1399.315
0.481 1403.596
0.524 1407.877
0.566 1413.014
0.613 1418.151
0.667 1423.288
0.714 1428.425
0.760 1432.705
0.799 1436.986
0.846 1442.123
0.900 1447.260
0.947 1452.397
0.993 1456.678
1.032 1460.959
1.071 1464.384
1.109 1467.808
1.152 1472.089
1.187 1476.370
1.234 1480.651
1.280 1484.932
1.327 1489.212
1.373 1493.493
1.420 1497.774
1.466 1502.055
1.521 1506.336
1.575 1511.045
1.629 1515.753
1.687 1520.890
1.738 1525.171
1.792 1529.452
1.847 1533.733
1.916 1538.442
1.971 1543.151
2.033 1547.432
2.087 1551.712
2.141 1555.137
2.203 1559.418
2.266 1563.699
2.328 1567.979
2.386 1570.976
2.448 1574.401
2.498 1577.397
2.553 1580.394
2.615 1584.247
2.684 1587.671
2.747 1591.096
2.801 1593.664
2.863 1596.233
2.925 1597.945
2.987 1600.514
3.041 1602.226
3.103 1603.938
3.158 1605.651
3.212 1606.507
3.274 1607.791
3.344 1608.647
3.406 1609.503
3.476 1609.503
3.550 1609.503
3.616 1609.503
3.689 1608.647
3.771 1607.363
3.844 1605.223
3.918 1602.226
3.984 1599.658
4.042 1597.089
4.108 1593.664
4.166 1589.812
4.228 1585.531
4.287 1581.250
4.333 1577.397
4.380 1573.116
4.426 1568.836
4.500 1560.000
