# time[Ga] H[1.0e-12*W/kg]
0.00 7.38751
0.10 7.52363
0.20 7.66539
0.30 7.81314
0.40 7.96724
0.50 8.12811
0.60 8.29617
0.70 8.47190
0.80 8.65580
0.90 8.84841
1.00 9.05032
1.10 9.26214
1.20 9.48457
1.30 9.71833
1.40 9.96421
1.50 10.22308
1.60 10.49584
1.70 10.78351
1.80 11.08716
1.90 11.40796
2.00 11.74718
2.10 12.10619
2.20 12.48648
2.30 12.88967
2.40 13.31750
2.50 13.77189
2.60 14.25489
2.70 14.76876
2.80 15.31593
2.90 15.89907
3.00 16.52105
3.10 17.18503
3.20 17.89443
3.30 18.65298
3.40 19.46476
3.50 20.33420
3.60 21.26613
3.70 22.26584
3.80 23.33909
3.90 24.49217
4.00 25.73196
4.10 27.06596
4.20 28.50239
4.30 30.05023
4.40 31.71929
4.50 33.52032
