# Depth(m)	Temperature(C)
7.000000000000000000e+05	1.790630000000000791e+03
6.960000000000000000e+05	1.776470844720497325e+03
6.920000000000000000e+05	1.762311689440993860e+03
6.880000000000000000e+05	1.748605739130434813e+03
6.840000000000000000e+05	1.735352993788819958e+03
6.800000000000000000e+05	1.722100248447205104e+03
6.760000000000000000e+05	1.710487478260869693e+03
6.720000000000000000e+05	1.698874708074534283e+03
6.680000000000000000e+05	1.688221366459627234e+03
6.640000000000000000e+05	1.678527453416149001e+03
6.600000000000000000e+05	1.668833540372670541e+03
6.560000000000000000e+05	1.660972248447204720e+03
6.520000000000000000e+05	1.653110956521738899e+03
6.480000000000000000e+05	1.646027366459627274e+03
6.440000000000000000e+05	1.639721478260869617e+03
6.400000000000000000e+05	1.633415590062111960e+03
6.360000000000000000e+05	1.628321751552795149e+03
6.320000000000000000e+05	1.623227913043478111e+03
6.280000000000000000e+05	1.618585428571428338e+03
6.240000000000000000e+05	1.614394298136645830e+03
6.200000000000000000e+05	1.610203167701863322e+03
6.160000000000000000e+05	1.606681403726708140e+03
6.120000000000000000e+05	1.603159639751552959e+03
6.080000000000000000e+05	1.599882124223602659e+03
6.040000000000000000e+05	1.596848857142857241e+03
6.000000000000000000e+05	1.593815590062111823e+03
5.960000000000000000e+05	1.591138621118012452e+03
5.920000000000000000e+05	1.588461652173913080e+03
5.880000000000000000e+05	1.585923639751552855e+03
5.840000000000000000e+05	1.583524583850931776e+03
5.800000000000000000e+05	1.581125527950310698e+03
5.760000000000000000e+05	1.578940534161490632e+03
5.720000000000000000e+05	1.576755540372670794e+03
5.680000000000000000e+05	1.574643229813664448e+03
5.640000000000000000e+05	1.572603602484472049e+03
5.600000000000000000e+05	1.570563975155279422e+03
5.560000000000000000e+05	1.568607204968944188e+03
5.520000000000000000e+05	1.566650434782608727e+03
5.480000000000000000e+05	1.564708223602484622e+03
5.440000000000000000e+05	1.562780571428571420e+03
5.400000000000000000e+05	1.560852919254658445e+03
5.360000000000000000e+05	1.558904049689441081e+03
5.320000000000000000e+05	1.556955180124223716e+03
5.280000000000000000e+05	1.554981801242236315e+03
5.240000000000000000e+05	1.552983913043478424e+03
5.200000000000000000e+05	1.550986024844720532e+03
5.160000000000000000e+05	1.548945180124223725e+03
5.120000000000000000e+05	1.546904335403726691e+03
5.080000000000000000e+05	1.544859763975155374e+03
5.040000000000000000e+05	1.542811465838509321e+03
5.000000000000000000e+05	1.540763167701863267e+03
4.960000000000000000e+05	1.538752956521739179e+03
4.920000000000000000e+05	1.536742745341615091e+03
4.880000000000000000e+05	1.534775354037267107e+03
4.840000000000000000e+05	1.532850782608695681e+03
4.800000000000000000e+05	1.530926211180124255e+03
4.760000000000000000e+05	1.529126732919254664e+03
4.720000000000000000e+05	1.527327254658385073e+03
4.680000000000000000e+05	1.525597055900621172e+03
4.640000000000000000e+05	1.523936136645962733e+03
4.600000000000000000e+05	1.522275217391304295e+03
4.560000000000000000e+05	1.520733428571428476e+03
4.520000000000000000e+05	1.519191639751552657e+03
4.480000000000000000e+05	1.517690658385093002e+03
4.440000000000000000e+05	1.516230484472049739e+03
4.400000000000000000e+05	1.514770310559006248e+03
4.360000000000000000e+05	1.513355677018633514e+03
4.320000000000000000e+05	1.511941043478260781e+03
4.280000000000000000e+05	1.510534422360248527e+03
4.240000000000000000e+05	1.509135813664596299e+03
4.200000000000000000e+05	1.507737204968944070e+03
4.160000000000000000e+05	1.506340260869565100e+03
4.120000000000000000e+05	1.504943316770186129e+03
4.080000000000000000e+05	1.503542198757763799e+03
4.040000000000000000e+05	1.502136906832298109e+03
4.000000000000000000e+05	1.500731614906832419e+03
3.960000000000000000e+05	1.499302819875776549e+03
3.920000000000000000e+05	1.497874024844720452e+03
3.880000000000000000e+05	1.496421925465838513e+03
3.840000000000000000e+05	1.494946521739130276e+03
3.800000000000000000e+05	1.493471118012422266e+03
3.760000000000000000e+05	1.491919962732919203e+03
3.720000000000000000e+05	1.490368807453416139e+03
3.680000000000000000e+05	1.488774720496894588e+03
3.640000000000000000e+05	1.487137701863354096e+03
3.600000000000000000e+05	1.485500683229813603e+03
3.560000000000000000e+05	1.483801453416148888e+03
3.520000000000000000e+05	1.482102223602484401e+03
3.480000000000000000e+05	1.480395875776397361e+03
3.440000000000000000e+05	1.478682409937888224e+03
3.400000000000000000e+05	1.476968944099378859e+03
3.360000000000000000e+05	1.475312521739130261e+03
3.320000000000000000e+05	1.473656099378881891e+03
3.280000000000000000e+05	1.472063999999999851e+03
3.240000000000000000e+05	1.470536223602484370e+03
3.200000000000000000e+05	1.469008447204968888e+03
3.160000000000000000e+05	1.467656894409937877e+03
3.120000000000000000e+05	1.466305341614906865e+03
3.080000000000000000e+05	1.465043788819875772e+03
3.040000000000000000e+05	1.463872236024844597e+03
3.000000000000000000e+05	1.462700683229813649e+03
2.960000000000000000e+05	1.461642074534161566e+03
2.920000000000000000e+05	1.460583465838509483e+03
2.880000000000000000e+05	1.459507627329192701e+03
2.840000000000000000e+05	1.458414559006211221e+03
2.800000000000000000e+05	1.457321490683229968e+03
2.760000000000000000e+05	1.455965739130434940e+03
2.720000000000000000e+05	1.454609987577639686e+03
2.680000000000000000e+05	1.453011863354037132e+03
2.640000000000000000e+05	1.451171366459627279e+03
2.600000000000000000e+05	1.449330869565217426e+03
2.560000000000000000e+05	1.446797875776397632e+03
2.520000000000000000e+05	1.444264881987577837e+03
2.480000000000000000e+05	1.441251739130434999e+03
2.440000000000000000e+05	1.437758447204969116e+03
2.400000000000000000e+05	1.434265155279503233e+03
2.360000000000000000e+05	1.429503664596273438e+03
2.320000000000000000e+05	1.424742173913043644e+03
2.280000000000000000e+05	1.419241975155279533e+03
2.240000000000000000e+05	1.413003068322981335e+03
2.200000000000000000e+05	1.406764161490683136e+03
2.160000000000000000e+05	1.399085875776397415e+03
2.120000000000000000e+05	1.391407590062111694e+03
2.080000000000000000e+05	1.383286621118012363e+03
2.040000000000000000e+05	1.374722968944099421e+03
2.000000000000000000e+05	1.366159316770186479e+03
1.960000000000000000e+05	1.357488782608695828e+03
1.920000000000000000e+05	1.348818248447204951e+03
1.880000000000000000e+05	1.340173801242236095e+03
1.840000000000000000e+05	1.331555440993788807e+03
1.800000000000000000e+05	1.322937080745341518e+03
1.760000000000000000e+05	1.313904012422360211e+03
1.720000000000000000e+05	1.304870944099378903e+03
1.680000000000000000e+05	1.295132944099378847e+03
1.640000000000000000e+05	1.284690012422360269e+03
1.600000000000000000e+05	1.274247080745341691e+03
1.560000000000000000e+05	1.260587478260869602e+03
1.520000000000000000e+05	1.246927875776397514e+03
1.480000000000000000e+05	1.230356223602484533e+03
1.440000000000000000e+05	1.210872521739130434e+03
1.400000000000000000e+05	1.191388819875776335e+03
1.360000000000000000e+05	1.165558730434782547e+03
1.320000000000000000e+05	1.139728640993788758e+03
1.280000000000000000e+05	1.112302957763975201e+03
1.240000000000000000e+05	1.083281680745341646e+03
1.200000000000000000e+05	1.054260403726708091e+03
1.160000000000000000e+05	1.024633775155279409e+03
1.120000000000000000e+05	9.950071465838509539e+02
1.080000000000000000e+05	9.653014745341614571e+02
1.040000000000000000e+05	9.355167590062111458e+02
1.000000000000000000e+05	9.057320434782608345e+02
9.600000000000000000e+04	8.757756409937887838e+02
9.200000000000000000e+04	8.458192385093167331e+02
8.800000000000000000e+04	8.155936534161490954e+02
8.400000000000000000e+04	7.850988857142857569e+02
8.000000000000000000e+04	7.546041180124224184e+02
7.600000000000000000e+04	7.212595316770186855e+02
7.200000000000000000e+04	6.879149453416149527e+02
6.800000000000000000e+04	6.498656906832297864e+02
6.400000000000000000e+04	6.071117677018634140e+02
6.000000000000000000e+04	5.643578447204969279e+02
5.600000000000000000e+04	5.022469751552795287e+02
5.200000000000000000e+04	4.401361055900621864e+02
4.800000000000000000e+04	3.663678136645963264e+02
4.400000000000000000e+04	2.809420993788820056e+02
4.000000000000000000e+04	1.955163850931676848e+02
3.600000000000000000e+04	1.173098310559006165e+02
3.200000000000000000e+04	3.910327701863354122e+01
2.800000000000000000e+04	0.000000000000000000e+00
2.400000000000000000e+04	0.000000000000000000e+00
2.000000000000000000e+04	0.000000000000000000e+00
1.600000000000000000e+04	0.000000000000000000e+00
1.200000000000000000e+04	0.000000000000000000e+00
8.000000000000000000e+03	0.000000000000000000e+00
4.000000000000000000e+03	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00
