# Depth(m)	Temperature(C)
7.000000000000000000e+05	1.850630000000000791e+03
6.960000000000000000e+05	1.838931565217391835e+03
6.920000000000000000e+05	1.827233130434782879e+03
6.880000000000000000e+05	1.816953801242236068e+03
6.840000000000000000e+05	1.808093577639751402e+03
6.800000000000000000e+05	1.799233354037266736e+03
6.760000000000000000e+05	1.793579639751552577e+03
6.720000000000000000e+05	1.787925925465838191e+03
6.680000000000000000e+05	1.783224372670807270e+03
6.640000000000000000e+05	1.779474981366459360e+03
6.600000000000000000e+05	1.775725590062111451e+03
6.560000000000000000e+05	1.772786633540372577e+03
6.520000000000000000e+05	1.769847677018633476e+03
6.480000000000000000e+05	1.767062782608695670e+03
6.440000000000000000e+05	1.764431950310558932e+03
6.400000000000000000e+05	1.761801118012422194e+03
6.360000000000000000e+05	1.759313267080745163e+03
6.320000000000000000e+05	1.756825416149068133e+03
6.280000000000000000e+05	1.754390472049689379e+03
6.240000000000000000e+05	1.752008434782608447e+03
6.200000000000000000e+05	1.749626397515527742e+03
6.160000000000000000e+05	1.747348583850931618e+03
6.120000000000000000e+05	1.745070770186335494e+03
6.080000000000000000e+05	1.742842993788819967e+03
6.040000000000000000e+05	1.740665254658385265e+03
6.000000000000000000e+05	1.738487515527950336e+03
5.960000000000000000e+05	1.736400335403726785e+03
5.920000000000000000e+05	1.734313155279503235e+03
5.880000000000000000e+05	1.732262186335403612e+03
5.840000000000000000e+05	1.730247428571428372e+03
5.800000000000000000e+05	1.728232670807453133e+03
5.760000000000000000e+05	1.726272422360248356e+03
5.720000000000000000e+05	1.724312173913043580e+03
5.680000000000000000e+05	1.722374173913043705e+03
5.640000000000000000e+05	1.720458422360248505e+03
5.600000000000000000e+05	1.718542670807453305e+03
5.560000000000000000e+05	1.716660906832297997e+03
5.520000000000000000e+05	1.714779142857142688e+03
5.480000000000000000e+05	1.712904608695651859e+03
5.440000000000000000e+05	1.711037304347825966e+03
5.400000000000000000e+05	1.709170000000000073e+03
5.360000000000000000e+05	1.707285701863354234e+03
5.320000000000000000e+05	1.705401403726708395e+03
5.280000000000000000e+05	1.703492534161490767e+03
5.240000000000000000e+05	1.701559093167701803e+03
5.200000000000000000e+05	1.699625652173912840e+03
5.160000000000000000e+05	1.697625204968944217e+03
5.120000000000000000e+05	1.695624757763975367e+03
5.080000000000000000e+05	1.693589975155279944e+03
5.040000000000000000e+05	1.691520857142857494e+03
5.000000000000000000e+05	1.689451739130435044e+03
4.960000000000000000e+05	1.687322372670807681e+03
4.920000000000000000e+05	1.685193006211180091e+03
4.880000000000000000e+05	1.683044335403726791e+03
4.840000000000000000e+05	1.680876360248447327e+03
4.800000000000000000e+05	1.678708385093168090e+03
4.760000000000000000e+05	1.676540708074534450e+03
4.720000000000000000e+05	1.674373031055900583e+03
