# Depth(m)	Temperature(C)
7.000000000000000000e+05	1.700630000000000791e+03
6.960000000000000000e+05	1.676198074534161833e+03
6.920000000000000000e+05	1.651766149068322875e+03
6.880000000000000000e+05	1.629417391304347575e+03
6.840000000000000000e+05	1.609151801242235933e+03
6.800000000000000000e+05	1.588886211180124292e+03
6.760000000000000000e+05	1.574395254658385284e+03
6.720000000000000000e+05	1.559904298136646048e+03
6.680000000000000000e+05	1.547890310559006366e+03
6.640000000000000000e+05	1.538353291925466010e+03
6.600000000000000000e+05	1.528816273291925654e+03
6.560000000000000000e+05	1.522578931677018772e+03
6.520000000000000000e+05	1.516341590062111891e+03
6.480000000000000000e+05	1.511074608695652387e+03
6.440000000000000000e+05	1.506777987577639806e+03
6.400000000000000000e+05	1.502481366459627225e+03
6.360000000000000000e+05	1.499311329192546509e+03
6.320000000000000000e+05	1.496141291925465794e+03
6.280000000000000000e+05	1.493319204968943950e+03
6.240000000000000000e+05	1.490845068322981206e+03
6.200000000000000000e+05	1.488370931677018461e+03
6.160000000000000000e+05	1.486351453416148843e+03
6.120000000000000000e+05	1.484331975155279451e+03
6.080000000000000000e+05	1.482468472049689353e+03
6.040000000000000000e+05	1.480760944099379003e+03
6.000000000000000000e+05	1.479053416149068426e+03
5.960000000000000000e+05	1.477561267080745438e+03
5.920000000000000000e+05	1.476069118012422450e+03
5.880000000000000000e+05	1.474648310559006177e+03
5.840000000000000000e+05	1.473298844720496845e+03
5.800000000000000000e+05	1.471949378881987514e+03
5.760000000000000000e+05	1.470686472049689428e+03
5.720000000000000000e+05	1.469423565217391342e+03
5.680000000000000000e+05	1.468181105590062089e+03
5.640000000000000000e+05	1.466959093167701894e+03
5.600000000000000000e+05	1.465737080745341700e+03
5.560000000000000000e+05	1.464519813664596313e+03
5.520000000000000000e+05	1.463302546583850699e+03
5.480000000000000000e+05	1.462074037267080485e+03
5.440000000000000000e+05	1.460834285714285670e+03
5.400000000000000000e+05	1.459594534161490628e+03
5.360000000000000000e+05	1.458311478260869535e+03
5.320000000000000000e+05	1.457028422360248214e+03
5.280000000000000000e+05	1.455717440993788614e+03
5.240000000000000000e+05	1.454378534161490734e+03
5.200000000000000000e+05	1.453039627329192626e+03
5.160000000000000000e+05	1.451638931677018718e+03
5.120000000000000000e+05	1.450238236024844582e+03
5.080000000000000000e+05	1.448806944099378825e+03
5.040000000000000000e+05	1.447345055900620991e+03
5.000000000000000000e+05	1.445883167701863385e+03
4.960000000000000000e+05	1.444366472049689492e+03
4.920000000000000000e+05	1.442849776397515598e+03
4.880000000000000000e+05	1.441311503105590191e+03
4.840000000000000000e+05	1.439751652173913044e+03
4.800000000000000000e+05	1.438191801242236124e+03
4.760000000000000000e+05	1.436604720496894515e+03
4.720000000000000000e+05	1.435017639751552679e+03
4.680000000000000000e+05	1.433425217391304159e+03
4.640000000000000000e+05	1.431827453416148956e+03
4.600000000000000000e+05	1.430229689440993752e+03
4.560000000000000000e+05	1.428642335403726747e+03
4.520000000000000000e+05	1.427054981366459742e+03
4.480000000000000000e+05	1.425484385093167703e+03
4.440000000000000000e+05	1.423930546583851083e+03
4.400000000000000000e+05	1.422376708074534235e+03
4.360000000000000000e+05	1.420885925465838454e+03
4.320000000000000000e+05	1.419395142857142673e+03
4.280000000000000000e+05	1.417936757763975038e+03
4.240000000000000000e+05	1.416510770186335549e+03
4.200000000000000000e+05	1.415084782608695832e+03
4.160000000000000000e+05	1.413617652173913257e+03
4.120000000000000000e+05	1.412150521739130454e+03
4.080000000000000000e+05	1.410529440993788739e+03
4.040000000000000000e+05	1.408754409937888113e+03
4.000000000000000000e+05	1.406979378881987486e+03
3.960000000000000000e+05	1.404664869565217487e+03
3.920000000000000000e+05	1.402350360248447259e+03
3.880000000000000000e+05	1.399808298136646044e+03
3.840000000000000000e+05	1.397038683229813842e+03
3.800000000000000000e+05	1.394269068322981411e+03
3.760000000000000000e+05	1.391408472049689635e+03
3.720000000000000000e+05	1.388547875776397632e+03
3.680000000000000000e+05	1.385814434782608942e+03
3.640000000000000000e+05	1.383208149068323110e+03
