# Depth(m)	Temperature(C)
7.000000000000000000e+05	1.780630000000000791e+03
6.960000000000000000e+05	1.758456832298136987e+03
6.920000000000000000e+05	1.736283664596273411e+03
6.880000000000000000e+05	1.716610310559006166e+03
6.840000000000000000e+05	1.699436770186335252e+03
6.800000000000000000e+05	1.682263229813664566e+03
6.760000000000000000e+05	1.671289018633540309e+03
6.720000000000000000e+05	1.660314807453416279e+03
6.680000000000000000e+05	1.651515689440993810e+03
6.640000000000000000e+05	1.644891664596273358e+03
6.600000000000000000e+05	1.638267639751552906e+03
6.560000000000000000e+05	1.633934322981366677e+03
6.520000000000000000e+05	1.629601006211180220e+03
6.480000000000000000e+05	1.625821341614906942e+03
6.440000000000000000e+05	1.622595329192546842e+03
6.400000000000000000e+05	1.619369316770186515e+03
6.360000000000000000e+05	1.616722459627329272e+03
6.320000000000000000e+05	1.614075602484472029e+03
6.280000000000000000e+05	1.611602074534161375e+03
6.240000000000000000e+05	1.609301875776397537e+03
6.200000000000000000e+05	1.607001677018633700e+03
6.160000000000000000e+05	1.604942645962732968e+03
6.120000000000000000e+05	1.602883614906832236e+03
6.080000000000000000e+05	1.600915130434782668e+03
6.040000000000000000e+05	1.599037192546583810e+03
6.000000000000000000e+05	1.597159254658385180e+03
5.960000000000000000e+05	1.595420596273291949e+03
5.920000000000000000e+05	1.593681937888198718e+03
5.880000000000000000e+05	1.591993465838509110e+03
5.840000000000000000e+05	1.590355180124223580e+03
5.800000000000000000e+05	1.588716894409937822e+03
5.760000000000000000e+05	1.587132670807453223e+03
5.720000000000000000e+05	1.585548447204968852e+03
5.680000000000000000e+05	1.583965527950310388e+03
5.640000000000000000e+05	1.582383913043478287e+03
5.600000000000000000e+05	1.580802298136645959e+03
5.560000000000000000e+05	1.579179465838509259e+03
5.520000000000000000e+05	1.577556633540372559e+03
5.480000000000000000e+05	1.575900074534161377e+03
5.440000000000000000e+05	1.574209788819875712e+03
5.400000000000000000e+05	1.572519503105590047e+03
5.360000000000000000e+05	1.570759751552795024e+03
5.320000000000000000e+05	1.569000000000000227e+03
5.280000000000000000e+05	1.567212968944099657e+03
5.240000000000000000e+05	1.565398658385093313e+03
5.200000000000000000e+05	1.563584347826086969e+03
5.160000000000000000e+05	1.561739354037267049e+03
5.120000000000000000e+05	1.559894360248447128e+03
5.080000000000000000e+05	1.558040236024844717e+03
5.040000000000000000e+05	1.556176981366459586e+03
5.000000000000000000e+05	1.554313726708074682e+03
4.960000000000000000e+05	1.552431267080745329e+03
4.920000000000000000e+05	1.550548807453416202e+03
4.880000000000000000e+05	1.548653689440993730e+03
4.840000000000000000e+05	1.546745913043478367e+03
4.800000000000000000e+05	1.544838136645962777e+03
4.760000000000000000e+05	1.542901192546583843e+03
4.720000000000000000e+05	1.540964248447204909e+03
4.680000000000000000e+05	1.539018248447204996e+03
4.640000000000000000e+05	1.537063192546583878e+03
4.600000000000000000e+05	1.535108136645962759e+03
4.560000000000000000e+05	1.533165900621117999e+03
4.520000000000000000e+05	1.531223664596273238e+03
4.480000000000000000e+05	1.529306496894409747e+03
4.440000000000000000e+05	1.527414397515527980e+03
4.400000000000000000e+05	1.525522298136646214e+03
