# Depth(m)	Temperature(C)
7.000000000000000000e+05	2.000630000000000791e+03
6.960000000000000000e+05	1.979818869565217938e+03
6.920000000000000000e+05	1.959007739130435084e+03
6.880000000000000000e+05	1.939572633540372635e+03
6.840000000000000000e+05	1.921513552795031046e+03
6.800000000000000000e+05	1.903454472049689230e+03
6.760000000000000000e+05	1.889593950310558739e+03
6.720000000000000000e+05	1.875733428571428476e+03
6.680000000000000000e+05	1.863859204968944141e+03
6.640000000000000000e+05	1.853971279503105734e+03
6.600000000000000000e+05	1.844083354037267327e+03
6.560000000000000000e+05	1.837170360248447423e+03
6.520000000000000000e+05	1.830257366459627519e+03
6.480000000000000000e+05	1.824321180124223929e+03
6.440000000000000000e+05	1.819361801242236197e+03
6.400000000000000000e+05	1.814402422360248693e+03
6.360000000000000000e+05	1.810627763975155403e+03
6.320000000000000000e+05	1.806853105590062114e+03
6.280000000000000000e+05	1.803412149068323060e+03
6.240000000000000000e+05	1.800304894409937788e+03
6.200000000000000000e+05	1.797197639751552515e+03
6.160000000000000000e+05	1.794444869565217004e+03
6.120000000000000000e+05	1.791692099378881721e+03
6.080000000000000000e+05	1.789034658385092825e+03
6.040000000000000000e+05	1.786472546583850772e+03
6.000000000000000000e+05	1.783910434782608718e+03
5.960000000000000000e+05	1.781469689440993761e+03
5.920000000000000000e+05	1.779028944099378805e+03
5.880000000000000000e+05	1.776638062111801219e+03
5.840000000000000000e+05	1.774297043478261003e+03
5.800000000000000000e+05	1.771956024844720787e+03
5.760000000000000000e+05	1.769727304347826248e+03
5.720000000000000000e+05	1.767498583850931709e+03
5.680000000000000000e+05	1.765321254658384987e+03
5.640000000000000000e+05	1.763195316770186082e+03
5.600000000000000000e+05	1.761069378881987404e+03
5.560000000000000000e+05	1.759005378881987554e+03
5.520000000000000000e+05	1.756941378881987703e+03
5.480000000000000000e+05	1.754887130434782875e+03
5.440000000000000000e+05	1.752842633540372844e+03
5.400000000000000000e+05	1.750798136645962813e+03
5.360000000000000000e+05	1.748729614906832239e+03
5.320000000000000000e+05	1.746661093167701893e+03
5.280000000000000000e+05	1.744571130434782617e+03
5.240000000000000000e+05	1.742459726708074641e+03
5.200000000000000000e+05	1.740348322981366664e+03
5.160000000000000000e+05	1.738193018633540532e+03
5.120000000000000000e+05	1.736037714285714401e+03
5.080000000000000000e+05	1.733866223602484524e+03
5.040000000000000000e+05	1.731678546583851130e+03
5.000000000000000000e+05	1.729490869565217508e+03
4.960000000000000000e+05	1.727327118012422488e+03
4.920000000000000000e+05	1.725163366459627241e+03
4.880000000000000000e+05	1.723037801242235901e+03
4.840000000000000000e+05	1.720950422360248240e+03
4.800000000000000000e+05	1.718863043478260579e+03
4.760000000000000000e+05	1.716875416149068087e+03
4.720000000000000000e+05	1.714887788819875595e+03
4.680000000000000000e+05	1.712949068322981248e+03
4.640000000000000000e+05	1.711059254658385271e+03
4.600000000000000000e+05	1.709169440993789067e+03
4.560000000000000000e+05	1.707365490683230064e+03
4.520000000000000000e+05	1.705561540372671061e+03
4.480000000000000000e+05	1.703788248447205206e+03
4.440000000000000000e+05	1.702045614906832498e+03
4.400000000000000000e+05	1.700302981366459790e+03
4.360000000000000000e+05	1.698603652173913133e+03
4.320000000000000000e+05	1.696904322981366477e+03
4.280000000000000000e+05	1.695220484472049520e+03
4.240000000000000000e+05	1.693552136645962719e+03
4.200000000000000000e+05	1.691883788819875690e+03
4.160000000000000000e+05	1.690210223602484575e+03
4.120000000000000000e+05	1.688536658385093460e+03
4.080000000000000000e+05	1.686825788819876152e+03
4.040000000000000000e+05	1.685077614906832650e+03
4.000000000000000000e+05	1.683329440993789149e+03
3.960000000000000000e+05	1.681463726708074773e+03
3.920000000000000000e+05	1.679598012422360398e+03
3.880000000000000000e+05	1.677671453416149234e+03
3.840000000000000000e+05	1.675684049689441281e+03
3.800000000000000000e+05	1.673696645962733101e+03
3.760000000000000000e+05	1.671628795031055915e+03
3.720000000000000000e+05	1.669560944099378730e+03
3.680000000000000000e+05	1.667495391304347550e+03
3.640000000000000000e+05	1.665432136645962601e+03
3.600000000000000000e+05	1.663368881987577652e+03
3.560000000000000000e+05	1.661394223602484544e+03
3.520000000000000000e+05	1.659419565217391437e+03
3.480000000000000000e+05	1.657524298136645939e+03
3.440000000000000000e+05	1.655708422360248278e+03
3.400000000000000000e+05	1.653892546583850617e+03
3.360000000000000000e+05	1.652254310559006171e+03
3.320000000000000000e+05	1.650616074534161726e+03
3.280000000000000000e+05	1.649024708074534601e+03
3.240000000000000000e+05	1.647480211180124570e+03
3.200000000000000000e+05	1.645935714285714539e+03
3.160000000000000000e+05	1.644372981366459726e+03
3.120000000000000000e+05	1.642810248447205140e+03
3.080000000000000000e+05	1.641185391304347831e+03
3.040000000000000000e+05	1.639498409937888255e+03
3.000000000000000000e+05	1.637811428571428678e+03
2.960000000000000000e+05	1.635938732919254790e+03
2.920000000000000000e+05	1.634066037267080901e+03
2.880000000000000000e+05	1.632094757763975167e+03
2.840000000000000000e+05	1.630024894409938042e+03
2.800000000000000000e+05	1.627955031055900690e+03
2.760000000000000000e+05	1.625667329192546731e+03
2.720000000000000000e+05	1.623379627329192544e+03
2.680000000000000000e+05	1.620897801242236028e+03
2.640000000000000000e+05	1.618221850931677182e+03
2.600000000000000000e+05	1.615545900621118108e+03
2.560000000000000000e+05	1.612322422360248538e+03
2.520000000000000000e+05	1.609098944099378969e+03
2.480000000000000000e+05	1.605634049689440872e+03
2.440000000000000000e+05	1.601927739130434702e+03
2.400000000000000000e+05	1.598221428571428305e+03
2.360000000000000000e+05	1.593987913043478102e+03
2.320000000000000000e+05	1.589754397515528126e+03
2.280000000000000000e+05	1.585123043478261025e+03
2.240000000000000000e+05	1.580093850931677252e+03
2.200000000000000000e+05	1.575064658385093253e+03
2.160000000000000000e+05	1.569972484472049700e+03
2.120000000000000000e+05	1.564880310559006148e+03
2.080000000000000000e+05	1.559674484472049699e+03
2.040000000000000000e+05	1.554355006211180125e+03
2.000000000000000000e+05	1.549035527950310552e+03
1.960000000000000000e+05	1.543067677018633503e+03
1.920000000000000000e+05	1.537099826086956455e+03
1.880000000000000000e+05	1.530543627329192532e+03
1.840000000000000000e+05	1.523399080745341735e+03
1.800000000000000000e+05	1.516254534161490710e+03
1.760000000000000000e+05	1.506692124223602377e+03
1.720000000000000000e+05	1.497129714285714272e+03
1.680000000000000000e+05	1.486085751552795045e+03
1.640000000000000000e+05	1.473560236024844698e+03
1.600000000000000000e+05	1.461034720496894352e+03
1.560000000000000000e+05	1.446684037267080839e+03
1.520000000000000000e+05	1.432333354037267100e+03
1.480000000000000000e+05	1.417053428571428640e+03
1.440000000000000000e+05	1.400844260869565232e+03
1.400000000000000000e+05	1.384635093167701825e+03
1.360000000000000000e+05	1.364655490683229800e+03
1.320000000000000000e+05	1.344675888198757775e+03
1.280000000000000000e+05	1.321917094409938045e+03
1.240000000000000000e+05	1.296379109316770155e+03
1.200000000000000000e+05	1.270841124223602264e+03
1.160000000000000000e+05	1.239361529192546413e+03
1.120000000000000000e+05	1.207881934161490790e+03
1.080000000000000000e+05	1.173981438509316831e+03
1.040000000000000000e+05	1.137660042236024992e+03
1.000000000000000000e+05	1.101338645962732926e+03
9.600000000000000000e+04	1.061505172670807497e+03
9.200000000000000000e+04	1.021671699378881954e+03
8.800000000000000000e+04	9.809281788819874919e+02
8.400000000000000000e+04	9.392746111801241113e+02
8.000000000000000000e+04	8.976210434782607308e+02
7.600000000000000000e+04	8.527075652173912204e+02
7.200000000000000000e+04	8.077940869565217099e+02
6.800000000000000000e+04	7.580027590062111358e+02
6.400000000000000000e+04	7.033335813664596117e+02
6.000000000000000000e+04	6.486644037267080876e+02
5.600000000000000000e+04	5.742763167701863267e+02
5.200000000000000000e+04	4.998882298136645659e+02
4.800000000000000000e+04	4.138812248447204638e+02
4.400000000000000000e+04	3.162553018633540205e+02
