/* DATA DESCRIPTION:
Citation:	Priestley, Keith; McKenzie, Dan (2015): Lithospheric thickness of Pangea. PANGAEA, https://doi.org/10.1594/PANGAEA.847325, 
	Supplement to: Priestley, K; McKenzie, D (2013): The relationship between shear wave velocity, temperature, attenuation and viscosity in the shallow part of the mantle. Earth and Planetary Science Letters, 381, 78-91, https://doi.org/10.1016/j.epsl.2013.08.022
Abstract:	Surface wave tomography, using the fundamental Rayleigh wave velocities and those of higher modes between 1 and 4 and periods between 50 and 160 s, is used to image structures with a horizontal resolution of ~250 km and a vertical resolution of ~50 km to depths of ~300 km in the mantle. A new model, PM_v2_2012, obtained from 3×10**6 seismograms, agrees well with earlier lower resolution models. It is combined with temperature estimates from oceanic plate models and with pressure and temperature estimates from the mineral compositions of garnet peridotite nodules to generate a number of estimates of SV(P,T) based on geophysical and petrological observations alone. These are then used to estimate the unrelaxed shear modulus and its derivatives with respect to pressure and temperature, which agree reasonably with values from laboratory experiments. At high temperatures relaxation occurs, causing the shear wave velocity to depend on frequency. This behaviour is parameterised using a viscosity to obtain a Maxwell relaxation time. The relaxation behaviour is described using a dimensionless frequency, which depends on an activation energy E and volume Va. The values of E and Va obtained from the geophysical models agree with those from laboratory experiments on high temperature creep. The resulting expressions are then used to determine the lithospheric thickness from the shear wave velocity variations. The resolution is improved by about a factor of two with respect to earlier models, and clearly resolves the thick lithosphere beneath active intracontinental belts that are now being shortened. The same expressions allow the three dimensional variations of the shear wave attenuation and viscosity to be estimated.
Related to:	McKenzie, Dan; Daly, Mike; Priestley, Keith (2015): The lithospheric structure of Pangea. http://issues.pangaea.de/browse/PDI-10217, Geology, https://doi.org/10.1130/G36819.1
Coverage:	MEDIAN LATITUDE: -10.416610 * MEDIAN LONGITUDE: -2.007162 * SOUTH-BOUND LATITUDE: -89.136000 * WEST-BOUND LONGITUDE: -178.617000 * NORTH-BOUND LATITUDE: 89.506000 * EAST-BOUND LONGITUDE: 175.757000
Parameter(s):	LATITUDE (Latitude) * GEOCODE * PI: McKenzie, Dan (mckenzie@madingley.org)
	LONGITUDE (Longitude) * GEOCODE * PI: McKenzie, Dan (mckenzie@madingley.org)
	Thickness [km] (Thick) * PI: McKenzie, Dan (mckenzie@madingley.org) * COMMENT: of lithosphere
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	5864 data points
*/
Latitude	Longitude	Thick [km]
-64.863	98.391	94
-64.942	101.946	94
-62.743	95.304	94
-62.867	98.695	94
-62.943	102.103	94
-60.587	92.449	98
-60.752	95.693	94
-60.871	98.959	94
-60.944	102.241	94
-60.971	105.531	94
-58.153	86.706	119
-58.398	89.787	126
-58.600	92.899	124
-58.759	96.036	110
-58.875	99.192	100
-58.945	102.362	94
-58.971	105.539	94
-51.829	59.547	157
-52.403	62.114	177
-52.950	64.729	180
-53.469	67.393	175
-55.901	84.327	141
-56.178	87.288	139
-56.415	90.281	157
-56.612	93.300	162
-56.766	96.342	136
-56.878	99.400	112
-56.946	102.470	101
-56.971	105.546	94
-56.952	108.623	94
-49.950	60.634	183
-50.513	63.166	201
-51.049	65.741	207
-51.558	68.360	206
-52.036	71.022	197
-52.483	73.726	198
-52.898	76.470	196
-53.278	79.254	200
-53.623	82.074	201
-53.931	84.928	195
-54.201	87.813	184
-54.431	90.725	184
-54.622	93.661	176
-54.772	96.617	156
-54.880	99.587	134
-54.947	102.567	117
-54.971	105.553	104
-54.953	108.539	94
-48.062	61.639	204
-48.614	64.136	214
-49.141	66.673	225
-49.639	69.249	228
-50.107	71.864	220
-50.545	74.517	210
-50.950	77.207	207
-51.321	79.931	208
-51.658	82.688	212
-51.958	85.475	212
-52.221	88.290	208
-52.446	91.129	193
-52.631	93.989	173
-52.777	96.866	160
-52.883	99.756	151
-52.947	102.655	135
-52.971	105.559	107
-52.953	108.463	94
-52.895	111.363	94
-45.597	60.147	170
-46.165	62.573	201
-46.708	65.036	215
-47.225	67.535	224
-47.714	70.071	226
-48.173	72.641	223
-48.601	75.246	218
-48.998	77.884	216
-49.361	80.553	217
-49.690	83.251	223
-49.983	85.976	220
-50.240	88.726	209
-50.459	91.498	203
-50.640	94.288	182
-50.782	97.093	165
-50.885	99.910	145
-50.948	102.735	115
-50.971	105.564	98
-50.954	108.394	94
-50.897	111.219	94
-43.702	61.049	172
-44.262	63.445	199
-44.796	65.874	207
-45.304	68.338	210
-45.783	70.833	210
-46.234	73.361	207
-46.654	75.920	209
-47.042	78.509	216
-47.398	81.126	226
-47.719	83.770	235
-48.006	86.438	229
-48.257	89.128	213
-48.471	91.837	208
-48.648	94.563	189
-48.787	97.302	164
-48.887	100.052	130
-48.949	102.809	103
-48.971	105.569	94
-48.954	108.330	94
-41.801	61.895	156
-42.352	64.261	176
-42.878	66.659	189
-43.377	69.087	199
-43.848	71.545	201
-44.290	74.033	200
-44.702	76.548	198
-45.083	79.091	213
-45.432	81.659	233
-45.747	84.251	240
-46.027	86.865	227
-46.273	89.499	213
-46.482	92.150	208
-46.655	94.816	190
-46.791	97.495	157
-46.889	100.182	111
-46.949	102.876	94
-46.971	105.574	94
-46.955	108.271	94
-39.894	62.692	135
-40.437	65.030	153
-40.954	67.396	169
-41.445	69.790	176
-41.909	72.212	183
-42.343	74.661	192
-42.748	77.135	199
-43.122	79.634	218
-43.463	82.156	241
-43.772	84.699	241
-44.047	87.263	221
-44.288	89.844	214
-44.493	92.441	202
-44.662	95.052	187
-44.795	97.674	150
-44.891	100.304	104
-44.950	102.939	94
-38.517	65.756	143
-39.027	68.091	157
-39.510	70.453	163
-39.966	72.840	178
-40.393	75.251	201
-40.790	77.686	221
-41.157	80.143	239
-41.493	82.621	251
-41.796	85.119	237
-42.066	87.635	218
-42.302	90.167	209
-42.503	92.714	192
-42.668	95.272	184
-42.799	97.841	131
-42.892	100.417	94
-42.950	102.998	94
-37.095	68.750	143
-37.571	71.080	135
-38.019	73.433	138
-38.440	75.808	181
-38.831	78.205	226
-39.191	80.622	226
-39.521	83.059	218
-39.818	85.513	217
-40.083	87.984	214
-40.315	90.470	192
-40.512	92.969	167
-40.674	95.478	161
-40.802	97.997	109
-40.894	100.523	94
-35.629	71.674	109
-36.070	73.995	110
-36.484	76.336	138
-36.869	78.696	180
-37.223	81.075	187
-37.547	83.472	190
-37.840	85.886	208
-38.100	88.314	211
-38.327	90.756	187
-38.520	93.209	167
-38.680	95.673	148
-38.805	98.145	105
-38.896	100.623	94
-34.119	74.530	106
-34.526	76.837	133
-34.905	79.163	152
-35.254	81.506	160
-35.572	83.865	169
-35.860	86.239	180
-36.115	88.626	191
-36.338	91.026	186
-36.529	93.437	162
-36.685	95.857	113
-36.808	98.284	94
-36.897	100.717	94
-32.566	77.316	145
-32.939	79.608	135
-33.282	81.916	165
-33.596	84.238	169
-33.879	86.574	163
-34.130	88.923	164
-34.349	91.283	178
-34.536	93.653	138
-34.690	96.031	102
-34.811	98.416	94
-34.898	100.806	94
-31.619	84.595	202
-31.897	86.895	184
-32.144	89.206	163
-32.360	91.528	159
-32.544	93.859	137
-32.695	96.198	97
-32.814	98.542	94
-32.899	100.892	94
-30.158	89.478	161
-30.370	91.763	155
-30.551	94.056	145
-30.700	96.357	99
-30.816	98.663	94
-28.171	89.738	134
-28.380	91.988	158
-28.558	94.245	182
-77.890	48.746	160
-77.925	48.743	160
-77.959	48.734	159
-77.994	48.719	158
-78.029	48.698	157
-78.063	48.671	156
-78.098	48.638	155
-78.132	48.599	154
-78.165	48.554	153
-78.199	48.503	151
-78.231	48.446	150
-78.264	48.383	149
-78.296	48.315	148
-78.327	48.240	147
-78.358	48.160	146
-78.389	48.074	146
-78.418	47.982	145
-78.447	47.885	145
-78.475	47.782	144
-78.503	47.674	143
-78.529	47.561	143
-78.555	47.442	143
-78.580	47.319	142
-78.604	47.191	142
-78.627	47.058	142
-78.649	46.920	142
-78.670	46.779	142
-78.690	46.633	142
-78.709	46.483	142
-78.727	46.329	142
-78.743	46.172	142
-78.759	46.011	142
-78.773	45.848	142
-78.786	45.681	143
-78.798	45.512	143
-78.808	45.341	143
-78.818	45.168	143
-78.826	44.992	144
-78.832	44.816	144
-78.838	44.637	144
-78.842	44.458	144
-78.845	44.279	145
-78.846	44.098	145
-78.846	43.918	146
-78.845	43.737	146
-78.843	43.558	147
-78.839	43.378	148
-78.834	43.200	149
-78.827	43.023	150
-78.819	42.847	150
