# lon lat thick
9.839100000000000534e+01 -6.486299999999999955e+01 9.400000000000000000e+01
1.019459999999999980e+02 -6.494199999999999307e+01 9.400000000000000000e+01
9.530400000000000205e+01 -6.274300000000000210e+01 9.400000000000000000e+01
9.869499999999999318e+01 -6.286699999999999733e+01 9.400000000000000000e+01
1.021029999999999944e+02 -6.294299999999999784e+01 9.400000000000000000e+01
9.244899999999999807e+01 -6.058700000000000330e+01 9.800000000000000000e+01
9.569299999999999784e+01 -6.075200000000000244e+01 9.400000000000000000e+01
9.895900000000000318e+01 -6.087100000000000222e+01 9.400000000000000000e+01
1.022409999999999997e+02 -6.094400000000000261e+01 9.400000000000000000e+01
1.055310000000000059e+02 -6.097099999999999653e+01 9.400000000000000000e+01
8.670600000000000307e+01 -5.815299999999999869e+01 1.190000000000000000e+02
8.978700000000000614e+01 -5.839800000000000324e+01 1.260000000000000000e+02
9.289900000000000091e+01 -5.860000000000000142e+01 1.240000000000000000e+02
9.603600000000000136e+01 -5.875900000000000034e+01 1.100000000000000000e+02
9.919199999999999307e+01 -5.887500000000000000e+01 1.000000000000000000e+02
1.023619999999999948e+02 -5.894500000000000028e+01 9.400000000000000000e+01
1.055390000000000015e+02 -5.897099999999999653e+01 9.400000000000000000e+01
5.954699999999999704e+01 -5.182900000000000063e+01 1.570000000000000000e+02
6.211399999999999721e+01 -5.240299999999999869e+01 1.770000000000000000e+02
6.472899999999999920e+01 -5.295000000000000284e+01 1.800000000000000000e+02
6.739300000000000068e+01 -5.346900000000000119e+01 1.750000000000000000e+02
8.432699999999999818e+01 -5.590100000000000335e+01 1.410000000000000000e+02
8.728799999999999670e+01 -5.617799999999999727e+01 1.390000000000000000e+02
9.028100000000000591e+01 -5.641499999999999915e+01 1.570000000000000000e+02
9.329999999999999716e+01 -5.661200000000000188e+01 1.620000000000000000e+02
9.634199999999999875e+01 -5.676599999999999824e+01 1.360000000000000000e+02
9.940000000000000568e+01 -5.687800000000000011e+01 1.120000000000000000e+02
1.024699999999999989e+02 -5.694599999999999795e+01 1.010000000000000000e+02
1.055460000000000065e+02 -5.697099999999999653e+01 9.400000000000000000e+01
1.086230000000000047e+02 -5.695199999999999818e+01 9.400000000000000000e+01
6.063400000000000034e+01 -4.995000000000000284e+01 1.830000000000000000e+02
6.316599999999999682e+01 -5.051299999999999812e+01 2.010000000000000000e+02
6.574099999999999966e+01 -5.104899999999999949e+01 2.070000000000000000e+02
6.835999999999999943e+01 -5.155799999999999983e+01 2.060000000000000000e+02
7.102200000000000557e+01 -5.203600000000000136e+01 1.970000000000000000e+02
7.372599999999999909e+01 -5.248299999999999699e+01 1.980000000000000000e+02
7.646999999999999886e+01 -5.289800000000000324e+01 1.960000000000000000e+02
7.925400000000000489e+01 -5.327799999999999869e+01 2.000000000000000000e+02
8.207399999999999807e+01 -5.362299999999999756e+01 2.010000000000000000e+02
8.492799999999999727e+01 -5.393099999999999739e+01 1.950000000000000000e+02
8.781300000000000239e+01 -5.420100000000000051e+01 1.840000000000000000e+02
9.072499999999999432e+01 -5.443099999999999739e+01 1.840000000000000000e+02
9.366100000000000136e+01 -5.462199999999999989e+01 1.760000000000000000e+02
9.661700000000000443e+01 -5.477199999999999847e+01 1.560000000000000000e+02
9.958700000000000330e+01 -5.488000000000000256e+01 1.340000000000000000e+02
1.025669999999999931e+02 -5.494700000000000273e+01 1.170000000000000000e+02
1.055529999999999973e+02 -5.497099999999999653e+01 1.040000000000000000e+02
1.085390000000000015e+02 -5.495300000000000296e+01 9.400000000000000000e+01
6.163900000000000290e+01 -4.806199999999999761e+01 2.040000000000000000e+02
6.413599999999999568e+01 -4.861399999999999721e+01 2.140000000000000000e+02
6.667300000000000182e+01 -4.914099999999999824e+01 2.250000000000000000e+02
6.924899999999999523e+01 -4.963900000000000290e+01 2.280000000000000000e+02
7.186400000000000432e+01 -5.010699999999999932e+01 2.200000000000000000e+02
7.451699999999999591e+01 -5.054500000000000171e+01 2.100000000000000000e+02
7.720699999999999363e+01 -5.095000000000000284e+01 2.070000000000000000e+02
7.993099999999999739e+01 -5.132099999999999795e+01 2.080000000000000000e+02
8.268800000000000239e+01 -5.165800000000000125e+01 2.120000000000000000e+02
8.547499999999999432e+01 -5.195799999999999841e+01 2.120000000000000000e+02
8.829000000000000625e+01 -5.222099999999999653e+01 2.080000000000000000e+02
9.112900000000000489e+01 -5.244599999999999795e+01 1.930000000000000000e+02
9.398900000000000432e+01 -5.263100000000000023e+01 1.730000000000000000e+02
9.686599999999999966e+01 -5.277700000000000102e+01 1.600000000000000000e+02
9.975600000000000023e+01 -5.288300000000000267e+01 1.510000000000000000e+02
1.026550000000000011e+02 -5.294700000000000273e+01 1.350000000000000000e+02
1.055589999999999975e+02 -5.297099999999999653e+01 1.070000000000000000e+02
1.084629999999999939e+02 -5.295300000000000296e+01 9.400000000000000000e+01
1.113629999999999995e+02 -5.289500000000000313e+01 9.400000000000000000e+01
6.014699999999999847e+01 -4.559700000000000131e+01 1.700000000000000000e+02
6.257300000000000040e+01 -4.616499999999999915e+01 2.010000000000000000e+02
6.503600000000000136e+01 -4.670799999999999841e+01 2.150000000000000000e+02
6.753499999999999659e+01 -4.722500000000000142e+01 2.240000000000000000e+02
7.007099999999999795e+01 -4.771399999999999864e+01 2.260000000000000000e+02
7.264100000000000534e+01 -4.817300000000000182e+01 2.230000000000000000e+02
7.524599999999999511e+01 -4.860099999999999909e+01 2.180000000000000000e+02
7.788400000000000034e+01 -4.899799999999999756e+01 2.160000000000000000e+02
8.055299999999999727e+01 -4.936099999999999710e+01 2.170000000000000000e+02
8.325100000000000477e+01 -4.968999999999999773e+01 2.230000000000000000e+02
8.597599999999999909e+01 -4.998299999999999699e+01 2.200000000000000000e+02
8.872599999999999909e+01 -5.024000000000000199e+01 2.090000000000000000e+02
9.149800000000000466e+01 -5.045900000000000318e+01 2.030000000000000000e+02
9.428799999999999670e+01 -5.064000000000000057e+01 1.820000000000000000e+02
9.709300000000000352e+01 -5.078199999999999648e+01 1.650000000000000000e+02
9.990999999999999659e+01 -5.088499999999999801e+01 1.450000000000000000e+02
1.027349999999999994e+02 -5.094800000000000040e+01 1.150000000000000000e+02
1.055639999999999930e+02 -5.097099999999999653e+01 9.800000000000000000e+01
1.083940000000000055e+02 -5.095400000000000063e+01 9.400000000000000000e+01
1.112189999999999941e+02 -5.089699999999999847e+01 9.400000000000000000e+01
6.104899999999999949e+01 -4.370199999999999818e+01 1.720000000000000000e+02
6.344500000000000028e+01 -4.426200000000000045e+01 1.990000000000000000e+02
6.587399999999999523e+01 -4.479599999999999937e+01 2.070000000000000000e+02
6.833799999999999386e+01 -4.530400000000000205e+01 2.100000000000000000e+02
7.083299999999999841e+01 -4.578300000000000125e+01 2.100000000000000000e+02
7.336100000000000421e+01 -4.623400000000000176e+01 2.070000000000000000e+02
7.592000000000000171e+01 -4.665400000000000347e+01 2.090000000000000000e+02
7.850900000000000034e+01 -4.704200000000000159e+01 2.160000000000000000e+02
8.112600000000000477e+01 -4.739800000000000324e+01 2.260000000000000000e+02
8.376999999999999602e+01 -4.771900000000000119e+01 2.350000000000000000e+02
8.643800000000000239e+01 -4.800600000000000023e+01 2.290000000000000000e+02
8.912800000000000011e+01 -4.825699999999999790e+01 2.130000000000000000e+02
9.183700000000000330e+01 -4.847099999999999653e+01 2.080000000000000000e+02
